45 80C4101040 01D AC01 7FF 0001 7FE 0001 0001 0000  C4
C4 80DE801040 01D AC01 7FF 0001 7FE 0001 0001 0000  DE
DE 4000000000 01D AC01 7FF 0001 7FE 0001 0001 0000  DF
DF 8001101040 01D AC01 7FF 0001 7FE 0001 0001 0000  01
01 00A0009004 01D AC01 01D 0001 7FE 001D 0001 0000  02
02 0104009420 01E AC01 01D F001 7FE 001D 0001 0000  03
03 0002009001 01E F001 01D F001 7FE 001D 0001 0000  04
04 8109804002 01E F001 01D F001 7FE 001D 0001 0000  09
09 800C404002 01E F001 01D F001 7FE 001D 0001 0000  0A
0A 800C204002 01E F001 01D F001 7FE 001D 0001 0000  0B
0B 8157104002 01E F001 01D F001 7FE 001D 0001 0000  57
57 8171084002 01E F001 01D F001 7FE 001D 0001 0000  58
58 8166044002 01E F001 01D F001 7FE 001D 0001 0000  59
59 8161024002 01E F001 01D F001 7FE 001D 0001 0000  5A
5A 815F014002 01E F001 01D F001 7FE 001D 0001 0000  5B
5B 80C4041040 01E F001 01D F001 7FE 001D 0001 0000  C4
C4 80DE801040 01E F001 01D F001 7FE 001D 0001 0000  DE
DE 4000000000 01E F001 01D F001 7FE 001D 0001 0000  DF
DF 8001101040 01E F001 01D F001 7FE 001D 0001 0000  01
01 00A0009004 01E F001 01E F001 7FE 001E 0001 0000  02
02 0104009420 01F F001 01E F308 7FE 001E 0001 0000  03
03 0002009001 01F F308 01E F308 7FE 001E 0001 0000  04
04 8109804002 01F F308 01E F308 7FE 001E 0001 0000  09
09 800C404002 01F F308 01E F308 7FE 001E 0001 0000  0A
0A 800C204002 01F F308 01E F308 7FE 001E 0001 0000  0B
0B 8157104002 01F F308 01E F308 7FE 001E 0001 0000  57
57 8171084002 01F F308 01E F308 7FE 001E 0001 0000  58
58 8166044002 01F F308 01E F308 7FE 001E 0001 0000  59
59 8161024002 01F F308 01E F308 7FE 001E 0001 0000  61
61 8164014002 01F F308 01E F308 7FE 001E 0001 0000  64
64 805C081040 01F F308 01E F308 7FE 001E 0001 0000  5C
5C 0020011002 01F F308 01E F308 7FE 0008 0001 0000  5D
5D 0004009024 027 F308 01E F308 7FE 0008 0001 0000  5E
5E 80C4101040 027 F308 01E F308 7FE 0008 0001 0000  C4
C4 80DE801040 027 F308 01E F308 7FE 0008 0001 0000  DE
DE 4000000000 027 F308 01E F308 7FE 0008 0001 0000  DF
DF 8001101040 027 F308 01E F308 7FE 0008 0001 0000  01
01 00A0009004 027 F308 027 F308 7FE 0027 0001 0000  02
02 0104009420 028 F308 027 AE02 7FE 0027 0001 0000  03
03 0002009001 028 AE02 027 AE02 7FE 0027 0001 0000  04
04 8109804002 028 AE02 027 AE02 7FE 0027 0001 0000  09
09 800C404002 028 AE02 027 AE02 7FE 0027 0001 0000  0C
0C 8024084002 028 AE02 027 AE02 7FE 0027 0001 0000  0D
0D 0020011002 028 AE02 027 AE02 7FE 0002 0001 0000  0E
0E 811C044002 028 AE02 027 AE02 7FE 0002 0001 0000  1C
1C 8120024002 028 AE02 027 AE02 7FE 0002 0001 0000  20
20 8023014002 028 AE02 027 AE02 7FE 0002 0001 0000  23
23 0001009024 028 AE02 027 002A 7FE 0002 0001 0000  24
24 8026804002 028 AE02 027 002A 7FE 0002 0001 0000  25
25 814A404002 028 AE02 027 002A 7FE 0002 0001 0000  26
